timestamp,open,high,low,close,volume
1633464000000,1.15962,1.15991,1.1594,1.15966,801.86
1633467600000,1.15963,1.16028,1.15946,1.15949,1150.135
1633471200000,1.15947,1.16006,1.15947,1.15983,606.75
1633474800000,1.15985,1.15988,1.15945,1.15955,475.4
1633478400000,1.15954,1.15977,1.15919,1.15936,2142.0901
1633482000000,1.15937,1.15965,1.15878,1.15908,2165.1001
1633485600000,1.15909,1.15947,1.1588,1.15931,1525.67
1633489200000,1.15932,1.15942,1.15905,1.15935,1307.16
1633492800000,1.15935,1.15936,1.1583,1.15845,1871.15
1633496400000,1.15846,1.15902,1.15816,1.1582,2096.49
1633500000000,1.1582,1.15839,1.15755,1.15777,4234.21
1633503600000,1.15776,1.15797,1.1556,1.15561,8255.1797
1633507200000,1.15561,1.15605,1.15509,1.1552,6336.4302
1633510800000,1.15521,1.15541,1.15412,1.1542,5578.3701
1633514400000,1.15419,1.1542,1.15291,1.15367,6896.96
1633518000000,1.15368,1.15438,1.15356,1.15378,6005.1802
1633521600000,1.15379,1.15473,1.15366,1.1545,8705.1396
1633525200000,1.15451,1.15521,1.1539,1.15425,7584.5498
1633528800000,1.15424,1.15555,1.1535,1.15417,7411.79
1633532400000,1.15418,1.15447,1.15322,1.15443,4842.23
1633536000000,1.15443,1.15497,1.15415,1.15432,3160.8401
1633539600000,1.15435,1.1557,1.15432,1.15512,2834.1399
1633543200000,1.15515,1.15553,1.15487,1.15505,3470.46
1633546800000,1.15503,1.15591,1.15488,1.15587,1434.61
1633550400000,1.15588,1.15595,1.15542,1.15542,903.41
1633554000000,1.15542,1.15566,1.15527,1.15541,639.8
1633557600000,1.1554,1.15574,1.1554,1.15542,665.345
1633561200000,1.15543,1.15554,1.15523,1.15549,698.56
1633564800000,1.15548,1.1561,1.15546,1.15584,1787.89
1633568400000,1.15584,1.15591,1.15511,1.15565,1639.17
1633572000000,1.15566,1.15572,1.15538,1.15545,691.98
1633575600000,1.15546,1.15562,1.15523,1.15555,641.38
1633579200000,1.15555,1.15571,1.15539,1.15555,561.57
1633582800000,1.15554,1.15568,1.15493,1.15494,1155.61
1633586400000,1.15493,1.15696,1.15489,1.15682,4025.8701
1633590000000,1.15681,1.15705,1.15614,1.15687,4341.9702
1633593600000,1.15688,1.15692,1.15594,1.156,3491.04
1633597200000,1.15603,1.15621,1.15549,1.15605,2942.8401
1633600800000,1.15606,1.15626,1.15564,1.15609,2192.52
1633604400000,1.1561,1.1572,1.15601,1.15649,3481.05
1633608000000,1.15648,1.15649,1.15504,1.15559,4192.29
1633611600000,1.15558,1.15634,1.15474,1.15561,7068.5698
1633615200000,1.1556,1.15687,1.15559,1.15607,6705.1299
1633618800000,1.15608,1.15688,1.156,1.15601,3584.4399
1633622400000,1.15601,1.15604,1.15525,1.15554,2091.8301
1633626000000,1.15555,1.15645,1.1555,1.15599,1508.5601
1633629600000,1.15601,1.15601,1.15492,1.15513,1625.02
1633633200000,1.15514,1.15546,1.15506,1.15538,1219.5601
1633636800000,1.15537,1.15554,1.15523,1.1553,895.75
1633640400000,1.1553,1.15567,1.15528,1.15554,716.2
1633644000000,1.15557,1.15569,1.15531,1.15542,559.4
1633647600000,1.15545,1.156,1.15541,1.15592,420.02
1633651200000,1.15591,1.15596,1.15525,1.15581,2226.8501
1633654800000,1.15582,1.15588,1.15538,1.1556,2398.78
1633658400000,1.15559,1.1557,1.15506,1.15546,1200.17
1633662000000,1.15545,1.15561,1.15496,1.15522,753.18
1633665600000,1.15522,1.15541,1.15473,1.15481,688.89
1633669200000,1.15483,1.15528,1.15413,1.15421,1645.11
1633672800000,1.1542,1.15488,1.15416,1.15457,2242.6101
1633676400000,1.15457,1.15512,1.15438,1.15478,3834.51
1633680000000,1.15476,1.15563,1.15432,1.15535,3385.0601
1633683600000,1.15535,1.15692,1.15532,1.15672,3617.8799
1633687200000,1.15673,1.15681,1.15604,1.15629,2036.3101
1633690800000,1.15628,1.15628,1.15557,1.15621,2922.8799
1633694400000,1.15621,1.15861,1.15608,1.15707,13897.0703
1633698000000,1.15708,1.15786,1.15557,1.15639,9461.0898
